騎手,win_rate,rentai_rate
騎手名,0.0,0.0
戸崎圭太,0.1580246913580247,0.3012345679012346
坂井瑠星,0.1641025641025641,0.28974358974358977
松山弘平,0.13625866050808313,0.2540415704387991
Ｃ．ルメール,0.24481327800829875,0.42323651452282157
川田将雅,0.22440944881889763,0.3779527559055118
横山武史,0.14213197969543148,0.2512690355329949
丹内祐次,0.10567514677103718,0.2035225048923679
岩田望来,0.15142857142857144,0.24857142857142858
佐々木大輔,0.09594882729211088,0.18763326226012794
横山和生,0.11572700296735905,0.2314540059347181
武豊,0.1449814126394052,0.27137546468401486
藤岡佑介,0.17333333333333334,0.2577777777777778
鮫島克駿,0.08505747126436781,0.1793103448275862
北村友一,0.11144578313253012,0.22289156626506024
幸英明,0.07692307692307693,0.13513513513513514
団野大成,0.09041095890410959,0.19726027397260273
高杉吏麒,0.07637231503579953,0.1766109785202864
吉村誠之助,0.06823529411764706,0.1388235294117647
Ｄ．レーン,0.26605504587155965,0.44954128440366975
小沢大仁,0.0782608695652174,0.13623188405797101
三浦皇成,0.08469055374592833,0.22149837133550487
岩田康誠,0.0948905109489051,0.20072992700729927
菅原明良,0.06648936170212766,0.13031914893617022
西村淳也,0.10775862068965517,0.21120689655172414
横山典弘,0.13793103448275862,0.2413793103448276
Ｊ．モレイラ,0.359375,0.546875
大野拓弥,0.06606606606606606,0.12612612612612611
池添謙一,0.10576923076923077,0.18269230769230768
津村明秀,0.061764705882352944,0.15294117647058825
斎藤新,0.06461538461538462,0.13538461538461538
田辺裕信,0.08045977011494253,0.1532567049808429
浜中俊,0.09523809523809523,0.17142857142857143
横山琉人,0.08032128514056225,0.1285140562248996
荻野極,0.06168831168831169,0.11688311688311688
小林美駒,0.07916666666666666,0.13333333333333333
長浜鴻緒,0.05099150141643059,0.11331444759206799
田口貫太,0.04187192118226601,0.1206896551724138
丸山元気,0.058419243986254296,0.15463917525773196
菊沢一樹,0.04735376044568245,0.0807799442896936
古川吉洋,0.0622568093385214,0.13229571984435798
原優介,0.04011461318051576,0.07449856733524356
石橋脩,0.07142857142857142,0.11734693877551021
西塚洸二,0.07567567567567568,0.12432432432432433
石川裕紀人,0.05,0.1423076923076923
Ｒ．キング,0.10833333333333334,0.23333333333333334
Ｍ．デムーロ,0.05194805194805195,0.1038961038961039
木幡巧也,0.03305785123966942,0.06336088154269973
武藤雅,0.06315789473684211,0.10526315789473684
菱田裕二,0.040740740740740744,0.08148148148148149
松本大輝,0.07692307692307693,0.14685314685314685
騎手名,0.0,0.0
高田潤,0.275,0.425
角田大和,0.03861003861003861,0.11583011583011583
北村宏司,0.04405286343612335,0.09251101321585903
和田竜二,0.031914893617021274,0.09929078014184398
吉田豊,0.036734693877551024,0.09795918367346938
Ａ．シュタルケ,0.060810810810810814,0.14189189189189189
杉原誠人,0.04522613065326633,0.10050251256281408
丸田恭介,0.039301310043668124,0.06550218340611354
永島まなみ,0.03501945525291829,0.054474708171206226
内田博幸,0.025396825396825397,0.07936507936507936
石神深道,0.035555555555555556,0.09333333333333334
国分恭介,0.05228758169934641,0.13071895424836602
小崎綾也,0.043478260869565216,0.10869565217391304
今村聖奈,0.05442176870748299,0.10884353741496598
草野太郎,0.1509433962264151,0.22641509433962265
松岡正海,0.030042918454935622,0.08583690987124463
松若風馬,0.030042918454935622,0.06866952789699571
秋山稔樹,0.035175879396984924,0.08040201005025126
酒井学,0.030837004405286344,0.06607929515418502
舟山瑠泉,0.058823529411764705,0.12605042016806722
古川奈穂,0.04964539007092199,0.09929078014184398
Ｔ．マーカンド,0.16279069767441862,0.32558139534883723
吉田隼人,0.038461538461538464,0.10256410256410256
柴田裕一郎,0.029411764705882353,0.06862745098039216
高倉稜,0.05309734513274336,0.11504424778761062
田山旺佑,0.047619047619047616,0.06349206349206349
石神深一,0.11538461538461539,0.1346153846153846
藤懸貴志,0.029069767441860465,0.09883720930232558
Ｍ．ディー,0.038461538461538464,0.11538461538461539
小牧加矢太,0.09090909090909091,0.2545454545454545
石田拓郎,0.027472527472527472,0.054945054945054944
川又賢治,0.038461538461538464,0.07692307692307693
上野翔,0.08064516129032258,0.16129032258064516
富田暁,0.07692307692307693,0.13846153846153847
上里直汰,0.04716981132075472,0.08490566037735849
泉谷楓真,0.0684931506849315,0.0958904109589041
柴田大知,0.02185792349726776,0.07103825136612021
黛弘人,0.022988505747126436,0.06896551724137931
伴啓太,0.08,0.22
中井裕二,0.03007518796992481,0.07518796992481203
川須栄彦,0.024539877300613498,0.06134969325153374
Ａ．ルメートル,0.04081632653061224,0.10204081632653061
国分優作,0.032,0.072
鷲頭虎太,0.035398230088495575,0.07079646017699115
亀田温心,0.03418803418803419,0.06837606837606838
和田陽希,0.032520325203252036,0.04878048780487805
荻野琢真,0.03571428571428571,0.05357142857142857
長岡禎仁,0.0189873417721519,0.0759493670886076
森一馬,0.06976744186046512,0.18604651162790697
小林脩斗,0.020833333333333332,0.04861111111111111
騎手名,0.0,0.0
小野寺祐太,0.06666666666666667,0.15555555555555556
五十嵐雄祐,0.06666666666666667,0.15555555555555556
野中悠太郎,0.017857142857142856,0.03571428571428571
大江原圭,0.06382978723404255,0.10638297872340426
遠藤汰月,0.025423728813559324,0.0423728813559322
川端海翼,0.011299435028248588,0.05649717514124294
江田照男,0.011695906432748537,0.04678362573099415
太宰啓介,0.015625,0.046875
加藤祥太,0.041666666666666664,0.125
森田誠也,0.018867924528301886,0.04716981132075472
嶋田純次,0.02197802197802198,0.054945054945054944
原田和真,0.021052631578947368,0.05263157894736842
水口優也,0.023529411764705882,0.058823529411764705
河原田菜々,0.014492753623188406,0.036231884057971016
佐藤翔馬,0.016,0.04
難波剛健,0.047619047619047616,0.09523809523809523
小林凌大,0.024390243902439025,0.04878048780487805
中村将之,0.06666666666666667,0.13333333333333333
Ｈ．ドイル,0.08333333333333333,0.16666666666666666
